Date,PS4,PC,SWITCH,IPHONE,IPAD
2.12,0,136,200,315,70
2.13,0,80,290,300,60
2.14,0,150,255,250,90
2.15,90,210,240,192,134
2.16,120,240,200,183,108
2.17,105,255,205,226,191
2.18,72,270,312,264,65
2.19,106,212,276,240,23
2.2,93,324,274,236,45
2.21,56,312,292,240,40
2.22,162,296,216,227,83
2.23,143,277,345,147,60
2.24,0,274,338,210,77
2.25,0,300,108,279,46
2.26,0,354,78,223,30
2.27,0,348,45,267,0
2.28,185,246,124,259,0
3.01,79,310,154,247,0
3.02,0,307,112,369,0
3.03,0,298,0,314,118
3.04,0,319,0,245,120
3.05,123,356,45,302,0
3.06,103,360,0,185,0
3.07,179,324,79,197,184
3.08,43,302,208,223,145
3.09,79,287,169,201,203
3.10,47,379,78,187,67
3.11,0,256,307,180,96
3.12,0,249,227,208,82
3.13,0,277,267,219,42
3.14,0,278,187,227,76
3.15,0,367,0,176,0
3.16,0,355,0,198,0
3.17,0,307,67,227,0
